Response ID,pid_ra,partner_ID,pid,sim_self,sim_other,dissim_self,dissim_other,social_desirability,age,sex,race,college_year
R_2VaMXbMdSNeBbxD,61910,51520,106,6,6,6,6,18,20,1,6,3
R_2qBDgYWZgY58Ohk,51520,61910,107,5,5,5,4,20,21,2,2,4
R_1LoMPPZUu3b2Pr4,52180,59858,108,3,3,4,4,17,21,2,8,4
R_somEf3A40pyHqKZ,65093,64766,109,7,6,7,6,17,19,2,2,2
R_2zTJGCP5rgRF3on,66781,52243,110,7,7,4,4,16,18,1,4,2
R_3ssmdDnq0XivxIu,65582,66795,111,4,4,4,4,20,21,1,6,8
R_1kNaIcC7CjwaLb9,66795,65582,112,7,5,5,4,20,21,2,3,3
R_xEhRkxxpigNjvHj,53515,63509,113,6,5,4,4,20,20,2,3,4
R_D0jyVwsYe0Vs1C9,63509,53515,114,5,5,5,4,19,19,1,2,2
R_XBMVyIleI1Mw5Hj,60121,52123,115,5,5,4,4,16,20,2,2,3
R_1FR2ZglAbFOjX8e,58545,63042,116,5,5,4,4,14,20,2,2,3
R_ddqt7h3sh6agvyp,63505,58511,117,7,5,7,4,20,19,2,2,2
R_1GNwmIDioS4ciZS,58298,60017,118,7,6,4,3,20,20,2,4,3
R_3QXIpHSI5qpN6Kg,60420,51431,119,6,5,3,3,20,19,2,2,3
R_2Bm37QXztEoQ4Ad,58511,63505,120,6,6,5,5,20,21,2,4,4
R_2Bkrxu5tZAFIkSt,51431,60420,121,4,4,4,2,23,21,2,6,4
R_1QyMfrDIIwUdMLq,60017,58298,122,5,4,4,4,13,20,1,6,3
R_2wKYJhem9iqrwMy,66772,60282,123,5,5,5,3,19,20,1,2,4
R_1diUVmXoPm7uQyz,63042,58545,124,5,3,3,2,20,20,2,2,3
R_3nOBBbadFXLnUz7,52123,60121,125,7,7,5,3,17,20,1,2,4
R_7UTkUqOkqS6Dk0V,60202,66772,126,6,5,4,4,21,20,2,2,3
R_e5qvLRxDXmnIirf,51586,66633,127,5,4,5,4,17,21,2,6,4
R_Zsh4R3c6m40svMR,59884,59928,128,6,6,6,3,18,20,2,3,3
R_a664YpFzk0VUcNj,65569,66612,129,6,5,6,5,16,21,2,2,4
R_1rCSqLghI6sG2vT,66633,51586,130,5,5,6,6,21,19,1,4,2
R_1d1hjaI3AyFiJCI,59928,59884,131,6,6,5,4,23,20,2,3,3
R_Uuac2GHl3oL9c1r,65078,65542,132,6,6,4,3,13,19,1,4,2
